date,station_name,degrees_from_mean,longitude,latitude,max_temp,min_temp,type
2013-05-15,SPICKARD 7 W,9.3,-93.7158,40.2472,32.2,17.2,Weak Hot
2013-06-29,LAKE YELLOWSTONE,19.24,-110.3986,44.5619,26.7,8.3,Strong Hot
2013-04-18,ELK MTN,-31.62,-106.4136,41.6878,-7.8,-16.7,Strong Cold
2013-07-06,CAVENDISH,7.82,-72.5989,43.3847,28.3,20.6,Weak Hot
2013-06-26,SONOMA,6.57,-122.4622,38.2994,26.7,16.7,Weak Hot
2013-04-23,OELRICHS,-17.07,-103.2372,43.1878,-1.1,-9.4,Weak Cold
2013-08-16,HARTWELL,-8.95,-82.93,34.3519,22.2,16.1,Weak Cold
2013-05-05,BENKELMAN,-9.93,-101.5325,40.0503,16.7,-2.2,Weak Cold
2013-08-01,MONTELLO 2NE,8.21,-114.1708,41.2783,35.0,16.7,Weak Hot
2013-06-26,NORTH ISLAND NAS,3.41,-117.2,32.7,25.6,20.0,Weak Hot
2013-05-11,WALKERTON 2 NW,9.94,-77.04,37.7433,28.3,22.2,Weak Hot
2013-12-10,EL VADO DAM,-27.57,-106.73,36.5928,-7.2,-27.2,Strong Cold
2013-05-05,YEMASSEE,-8.57,-80.8419,32.6803,21.1,13.9,Weak Cold
2013-12-18,NASHUA 2 NNW,-13.49,-71.4736,42.7914,-6.1,-20.6,Weak Cold
2013-10-02,FT GIBSON DAM,11.33,-95.2333,35.8667,31.1,22.2,Weak Hot
2013-06-12,NEW FRANKLIN 1W,6.1,-92.7558,39.0172,32.8,23.3,Weak Hot
2013-05-02,LINCOLN 1 SE,-14.77,-98.13,39.0294,10.6,0.6,Weak Cold
2013-05-02,GENOA DAM 8,-12.42,-91.2294,43.5706,8.9,1.1,Weak Cold
2013-06-26,KING CITY,6.25,-121.1378,36.2069,32.8,16.1,Weak Hot
2013-06-17,FAIRBANKS INTL AP,7.16,-147.8761,64.8039,30.0,17.2,Weak Hot
2013-10-05,CHARLOTTE DOUGLAS AP,8.53,-80.9553,35.2236,30.6,14.4,Weak Hot
2013-09-06,HUNTLEY EXP STN,22.42,-108.2444,45.9228,36.1,16.1,Strong Hot
2013-11-30,MARIETTA 5SW,-11.28,-97.1642,33.8761,13.9,-6.1,Weak Cold
2013-06-02,ABERDEEN,-9.72,-98.4131,45.4558,20.0,2.8,Weak Cold
2013-04-23,DAVIS 2 WSW EXP FARM,8.99,-121.7761,38.535,31.7,16.1,Weak Hot
2013-03-17,CHELAN,7.85,-120.0381,47.8361,16.1,8.3,Weak Hot
2013-12-06,SAVANNAH INTL AP,11.01,-81.21,32.13,28.3,17.2,Weak Hot
2013-09-07,NORTHPORT,9.12,-117.8667,48.8742,28.9,15.6,Weak Hot
2013-06-02,MENNO,-9.2,-97.5714,43.2358,20.0,5.0,Weak Cold
2013-11-26,FORD CITY 4 S DAM,-10.8,-79.5144,40.7131,8.3,-11.1,Weak Cold
2013-05-25,PITTSFIELD MUNI AP,-13.6,-73.2892,42.4272,5.6,3.9,Weak Cold
2013-01-30,MIDDLEBOURNE 3 ESE,31.29,-80.9047,39.4953,20.6,7.8,Strong Hot
2013-11-22,SILVER CREEK FALLS,-15.82,-122.6486,44.8728,1.7,-5.6,Strong Cold
2013-05-12,RICHLAND,8.4,-119.2633,46.3119,29.4,17.2,Weak Hot
2013-11-28,BUCYRUS,-11.28,-83.6111,40.8128,-1.7,-7.2,Weak Cold
2013-10-15,LLANO,10.53,-98.6542,30.7425,28.9,22.8,Weak Hot
2013-01-01,MALHEUR REFUGE HQ,-12.65,-118.8447,43.265,-9.4,-13.3,Weak Cold
2013-11-24,GAYLORD,-14.5,-94.2208,44.5564,-9.4,-16.1,Weak Cold
2013-11-23,GOLD BEACH RS,7.81,-124.4242,42.4036,22.2,6.1,Weak Hot
2013-09-06,MOOSE LAKE 1 SSE,10.76,-92.7578,46.4378,31.1,13.3,Weak Hot
2013-10-29,PASADENA,-9.85,-118.1447,34.1483,18.3,10.0,Weak Cold
2013-11-21,OPHEIM 12 SSE,-19.11,-106.3153,48.6956,-11.1,-29.4,Weak Cold
2013-06-07,MEDFORD,-11.79,-90.3439,45.1308,11.7,7.8,Weak Cold
